Date,Price
"Sep 07, 2017","1,340.35"
"Sep 06, 2017","1,338.63"
"Sep 05, 2017","1,344.50"
"Sep 04, 2017","1,338.08"
"Sep 03, 2017","1,341.22"
"Sep 01, 2017","1,330.40"
"Aug 31, 2017","1,322.20"
"Aug 30, 2017","1,314.10"
"Aug 29, 2017","1,318.90"
"Aug 28, 2017","1,315.30"
"Aug 25, 2017","1,297.90"
"Aug 24, 2017","1,292.00"
"Aug 23, 2017","1,294.70"
"Aug 22, 2017","1,291.00"
"Aug 21, 2017","1,296.70"
"Aug 18, 2017","1,291.60"
"Aug 17, 2017","1,292.40"
"Aug 16, 2017","1,282.90"
"Aug 15, 2017","1,279.70"
"Aug 14, 2017","1,290.40"
"Aug 11, 2017","1,294.00"
"Aug 10, 2017","1,290.10"
"Aug 09, 2017","1,279.30"
"Aug 08, 2017","1,262.60"
"Aug 07, 2017","1,264.70"
