Date,Price
"Sep 07, 2017",17.936
"Sep 06, 2017",17.927
"Sep 05, 2017",17.845
"Sep 04, 2017",17.914
"Sep 03, 2017",17.934
"Sep 01, 2017",17.719
"Aug 31, 2017",17.480
"Aug 30, 2017",17.404
"Aug 29, 2017",17.426
"Aug 28, 2017",17.441
"Aug 27, 2017",17.042
"Aug 25, 2017",17.049
"Aug 24, 2017",16.963
"Aug 23, 2017",17.046
"Aug 22, 2017",16.982
"Aug 21, 2017",17.015
"Aug 20, 2017",16.896
"Aug 18, 2017",17.000
"Aug 17, 2017",17.053
"Aug 16, 2017",16.940
"Aug 15, 2017",16.714
"Aug 14, 2017",17.122
"Aug 13, 2017",17.076
"Aug 11, 2017",17.070
"Aug 10, 2017",17.065
"Aug 09, 2017",16.863
"Aug 08, 2017",16.389
"Aug 07, 2017",16.251
